               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.043584,            0.012677,            0.014574,             0.25664,                   0,             0.57281,            0.068182,            0.092866,            0.023067,            0.054654,            0.011317,            0.016669,             0.23889,                   0,             0.00769,             0.00769,             0.00769
                  79,            0.043239,            0.012584,            0.014574,             0.24719,                   0,             0.58742,            0.058712,             0.12074,            0.028773,            0.053861,            0.011348,              0.0168,             0.22998,                   0,             0.00766,             0.00766,             0.00766
                  80,            0.043152,            0.012568,             0.01464,             0.23719,                   0,             0.60894,             0.10956,              0.1383,            0.032284,            0.054813,             0.01138,            0.017062,             0.22998,                   0,             0.00763,             0.00763,             0.00763
                  81,            0.042463,             0.01245,            0.014492,              0.2341,                   0,             0.42031,             0.14962,             0.21225,            0.064158,            0.056082,            0.011203,            0.017233,              0.2334,                   0,              0.0076,              0.0076,              0.0076
                  82,            0.043511,            0.012465,            0.014426,             0.22227,                   0,             0.20103,              0.1394,              0.1924,            0.061592,            0.057095,            0.011188,              0.0168,             0.22717,                   0,             0.00757,             0.00757,             0.00757
                  83,            0.043512,             0.01235,            0.014156,             0.20569,                   0,             0.40281,            0.090762,             0.13955,            0.039357,             0.05609,            0.011198,            0.016965,             0.22412,                   0,             0.00754,             0.00754,             0.00754
                  84,            0.041968,            0.012314,            0.014166,             0.21916,                   0,             0.58966,             0.04931,              0.1087,            0.031755,            0.053976,            0.011235,            0.016733,             0.23376,                   0,             0.00751,             0.00751,             0.00751
                  85,            0.041977,            0.012177,            0.014133,             0.20911,                   0,             0.43552,             0.10855,             0.12226,            0.031212,            0.053636,            0.011321,            0.016418,             0.22864,                   0,             0.00748,             0.00748,             0.00748
                  86,            0.042546,            0.012248,            0.014077,             0.19744,                   0,             0.60341,            0.066288,              0.1192,            0.028853,            0.052882,            0.011327,            0.016342,              0.2146,                   0,             0.00745,             0.00745,             0.00745
                  87,            0.042984,             0.01217,            0.014157,             0.20644,                   0,             0.58743,            0.090909,             0.11751,            0.028987,            0.053788,             0.01119,            0.016904,             0.21899,                   0,             0.00742,             0.00742,             0.00742
