               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.023411,           0.0010838,           0.0015175,            0.028637,             0.60704,             0.48168,             0.49133,             0.17963,            0.031208,           0.0011073,           0.0015665,             0.29004,             0.00775,             0.00775,             0.00775
                  77,            0.022651,           0.0010877,            0.001504,            0.030059,             0.58487,             0.50468,             0.51083,              0.1738,            0.034943,           0.0010856,           0.0015303,              0.2832,             0.00772,             0.00772,             0.00772
                  78,            0.023213,           0.0010687,           0.0014914,            0.029227,             0.57321,             0.50275,             0.53007,             0.19568,            0.030976,           0.0011048,           0.0015099,             0.29028,             0.00769,             0.00769,             0.00769
                  79,            0.023008,           0.0010799,           0.0015106,            0.029372,             0.51681,             0.52672,             0.51903,             0.19978,            0.032721,           0.0010859,           0.0014925,             0.28784,             0.00766,             0.00766,             0.00766
                  80,            0.022591,           0.0010735,           0.0014161,            0.022077,             0.55174,             0.52278,             0.50285,             0.18061,             0.03373,           0.0010817,           0.0014827,             0.27783,             0.00763,             0.00763,             0.00763
                  81,             0.02268,           0.0010713,           0.0013919,            0.026751,             0.52135,             0.52406,             0.51555,             0.19503,            0.032262,           0.0010898,            0.001471,             0.28271,              0.0076,              0.0076,              0.0076
                  82,            0.022803,           0.0010352,           0.0013493,            0.022569,             0.50617,             0.56199,             0.53926,             0.19654,            0.032827,           0.0010952,           0.0014479,             0.28174,             0.00757,             0.00757,             0.00757
                  83,            0.022576,           0.0010416,           0.0013874,            0.016635,             0.54528,             0.56675,             0.55457,             0.20378,            0.031598,           0.0011008,           0.0014543,             0.29736,             0.00754,             0.00754,             0.00754
                  84,            0.022868,           0.0010566,           0.0013539,            0.016832,              0.5492,             0.57464,             0.55669,             0.20576,            0.031685,           0.0010912,           0.0014259,               0.302,             0.00751,             0.00751,             0.00751
                  85,            0.022424,           0.0010427,           0.0013509,            0.014368,             0.58142,              0.5358,             0.51948,             0.18703,            0.030691,           0.0010881,           0.0013799,              0.2937,             0.00748,             0.00748,             0.00748
