                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                    204,                0.40145,                0.38623,                0.95752,                      1,              0.0003235
                    205,                0.38016,                0.39745,                0.95425,                      1,              0.0003202
                    206,                0.39664,                0.39819,                0.95752,                      1,              0.0003169
                    207,                0.38048,                0.40992,                0.95098,                      1,              0.0003136
                    208,                0.39943,                0.39342,                0.94444,                      1,              0.0003103
                    209,                0.39714,                0.37929,                0.96732,                      1,               0.000307
                    210,                0.40804,                0.38723,                0.96732,                      1,              0.0003037
                    211,                0.38345,                0.39136,                0.97059,                      1,              0.0003004
                    212,                0.38241,                0.39479,                0.96405,                      1,              0.0002971
                    213,                0.41552,                 0.4109,                0.96078,                      1,              0.0002938
                    214,                0.39416,                0.38026,                0.96405,                      1,              0.0002905
                    215,                0.38294,                0.38063,                0.97059,                      1,              0.0002872
                    216,                0.37934,                 0.3811,                0.96405,                      1,              0.0002839
                    217,                0.39365,                0.38407,                0.96405,                      1,              0.0002806
                    218,                0.38887,                0.37781,                0.96732,                      1,              0.0002773
                    219,                0.39395,                0.37287,                0.96732,                      1,               0.000274
                    220,                0.38903,                0.37953,                0.96078,                      1,              0.0002707
                    221,                0.38044,                0.37563,                0.96732,                      1,              0.0002674
                    222,                0.39237,                0.37682,                0.96732,                      1,              0.0002641
                    223,                0.38832,                0.38109,                0.97059,                      1,              0.0002608
                    224,                0.38064,                 0.3863,                0.96732,                      1,              0.0002575
                    225,                0.37586,                0.38516,                0.97059,                      1,              0.0002542
                    226,                0.38431,                0.37506,                0.96732,                      1,              0.0002509
                    227,                0.36587,                0.38157,                0.96732,                      1,              0.0002476
                    228,                0.36583,                 0.3779,                0.96732,                      1,              0.0002443
                    229,                0.36986,                0.37783,                0.97712,                      1,               0.000241
                    230,                0.39414,                0.38669,                0.97059,                      1,              0.0002377
                    231,                0.38369,                0.39299,                0.96078,                      1,              0.0002344
                    232,                0.38229,                0.39252,                0.96078,                      1,              0.0002311
                    233,                0.37995,                0.38405,                0.96732,                      1,              0.0002278
                    234,                0.37471,                0.37673,                0.97059,                      1,              0.0002245
                    235,                0.36257,                0.37132,                0.97059,                      1,              0.0002212
                    236,                0.36775,                0.36965,                0.97059,                      1,              0.0002179
                    237,                0.36681,                0.36612,                0.97059,                      1,              0.0002146
                    238,                0.36485,                 0.3687,                0.97059,                      1,              0.0002113
                    239,                 0.3672,                 0.3724,                0.97059,                      1,               0.000208
                    240,                0.36897,                0.37081,                0.97386,                      1,              0.0002047
                    241,                0.37852,                0.36891,                0.97059,                      1,              0.0002014
                    242,                0.37008,                0.37233,                0.97059,                      1,              0.0001981
                    243,                0.35874,                0.36635,                0.96732,                      1,              0.0001948
                    244,                0.38669,                0.36682,                0.97059,                      1,              0.0001915
                    245,                0.39272,                0.38833,                0.97059,                      1,              0.0001882
                    246,                0.36944,                0.38798,                0.96732,                      1,              0.0001849
                    247,                0.38584,                0.38136,                0.96405,                      1,              0.0001816
                    248,                0.38785,                0.38534,                0.96732,                      1,              0.0001783
                    249,                0.36494,                0.37856,                0.96405,                      1,               0.000175
                    250,                 0.3911,                0.37315,                0.96405,                      1,              0.0001717
                    251,                0.38218,                0.37637,                0.96078,                      1,              0.0001684
                    252,                0.37856,                0.37264,                0.96078,                      1,              0.0001651
                    253,                0.35859,                0.37809,                0.95752,                      1,              0.0001618
                    254,                0.34286,                0.37237,                0.96405,                      1,              0.0001585
                    255,                 0.3619,                0.37595,                0.96405,                      1,              0.0001552
                    256,                0.37293,                0.37524,                0.96405,                      1,              0.0001519
                    257,                0.37428,                0.37138,                0.95752,                      1,              0.0001486
                    258,                0.35522,                0.36826,                0.96405,                      1,              0.0001453
                    259,                0.35848,                0.36793,                0.97059,                      1,               0.000142
                    260,                0.35674,                0.36609,                0.96732,                      1,              0.0001387
                    261,                0.35299,                0.36588,                0.96732,                      1,              0.0001354
                    262,                0.35395,                0.36893,                0.97059,                      1,              0.0001321
                    263,                0.35054,                0.37368,                0.97386,                      1,              0.0001288
                    264,                0.35965,                 0.3675,                0.97386,                      1,              0.0001255
                    265,                0.35533,                0.37613,                0.97059,                      1,              0.0001222
                    266,                0.35509,                0.37183,                0.97059,                      1,              0.0001189
                    267,                 0.3552,                0.37257,                0.97059,                      1,              0.0001156
                    268,                0.36892,                0.37127,                0.97059,                      1,              0.0001123
                    269,                0.35017,                0.36743,                0.97059,                      1,               0.000109
                    270,                0.34816,                0.36357,                0.97059,                      1,              0.0001057
                    271,                0.35411,                0.36733,                0.97059,                      1,              0.0001024
                    272,                0.35649,                 0.3773,                0.96732,                      1,               9.91e-05
                    273,                0.35054,                0.37303,                0.97059,                      1,               9.58e-05
                    274,                0.35023,                0.37118,                0.97059,                      1,               9.25e-05
                    275,                0.34964,                0.36782,                0.97059,                      1,               8.92e-05
                    276,                0.35259,                 0.3677,                0.97059,                      1,               8.59e-05
                    277,                0.34832,                0.36601,                0.97059,                      1,               8.26e-05
                    278,                0.34719,                0.36404,                0.97059,                      1,               7.93e-05
                    279,                0.33894,                0.36764,                0.97059,                      1,                7.6e-05
                    280,                0.34413,                0.36717,                0.97059,                      1,               7.27e-05
                    281,                0.33298,                0.36417,                0.97386,                      1,               6.94e-05
                    282,                0.35459,                0.36413,                0.97386,                      1,               6.61e-05
                    283,                0.35108,                 0.3701,                0.97386,                      1,               6.28e-05
                    284,                0.33425,                0.36862,                0.97386,                      1,               5.95e-05
                    285,                0.34226,                0.37099,                0.97386,                      1,               5.62e-05
                    286,                0.34085,                0.36867,                0.97386,                      1,               5.29e-05
