                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                    230,                0.31068,                0.39103,                0.96078,                      1,              0.0002377
                    231,                0.31366,                0.39655,                0.95752,                      1,              0.0002344
                    232,                0.31394,                0.36006,                0.95752,                      1,              0.0002311
                    233,                0.31264,                0.40381,                0.96078,                      1,              0.0002278
                    234,                0.31545,                0.42002,                0.96078,                      1,              0.0002245
                    235,                0.31283,                0.40048,                0.95752,                      1,              0.0002212
                    236,                0.30906,                0.37896,                0.96078,                      1,              0.0002179
                    237,                0.31016,                0.38368,                0.95752,                      1,              0.0002146
                    238,                0.31841,                0.38786,                0.96078,                      1,              0.0002113
                    239,                 0.3131,                0.39975,                0.95752,                      1,               0.000208
                    240,                0.31512,                0.37793,                0.95752,                      1,              0.0002047
                    241,                0.31482,                0.36545,                0.95752,                      1,              0.0002014
                    242,                0.31239,                0.41829,                0.95752,                      1,              0.0001981
                    243,                0.30914,                0.38582,                0.95425,                      1,              0.0001948
                    244,                0.31171,                0.36618,                0.95425,                      1,              0.0001915
                    245,                 0.3095,                0.36411,                0.95752,                      1,              0.0001882
                    246,                 0.3086,                 0.3842,                0.95752,                      1,              0.0001849
                    247,                0.30645,                0.37693,                0.95752,                      1,              0.0001816
                    248,                 0.3145,                0.36441,                0.96078,                      1,              0.0001783
                    249,                0.31012,                0.40937,                0.95752,                      1,               0.000175
                    250,                0.31572,                0.35151,                0.95752,                      1,              0.0001717
                    251,                0.30827,                0.38037,                0.95752,                      1,              0.0001684
                    252,                0.31151,                0.39556,                0.95425,                      1,              0.0001651
                    253,                0.30891,                0.39254,                0.95425,                      1,              0.0001618
                    254,                0.30917,                0.36606,                0.96078,                      1,              0.0001585
                    255,                0.31109,                0.37138,                0.96078,                      1,              0.0001552
                    256,                0.30988,                0.37074,                0.95752,                      1,              0.0001519
                    257,                0.31407,                0.35497,                0.95752,                      1,              0.0001486
                    258,                0.31052,                0.36385,                0.95752,                      1,              0.0001453
                    259,                0.31409,                0.38437,                0.95752,                      1,               0.000142
                    260,                0.30978,                0.37846,                0.95752,                      1,              0.0001387
                    261,                0.31323,                0.39765,                0.95752,                      1,              0.0001354
                    262,                0.31281,                0.36357,                0.95752,                      1,              0.0001321
                    263,                0.31244,                0.41893,                0.95752,                      1,              0.0001288
                    264,                0.31064,                0.37284,                0.95752,                      1,              0.0001255
                    265,                0.31174,                 0.4164,                0.95752,                      1,              0.0001222
                    266,                0.30976,                0.37677,                0.96078,                      1,              0.0001189
                    267,                0.30822,                0.38548,                0.96078,                      1,              0.0001156
                    268,                0.30515,                0.39053,                0.95752,                      1,              0.0001123
                    269,                0.31099,                0.39355,                0.95752,                      1,               0.000109
                    270,                0.31155,                0.36081,                0.95752,                      1,              0.0001057
                    271,                0.30777,                0.37703,                0.95752,                      1,              0.0001024
                    272,                0.31128,                0.43899,                0.95752,                      1,               9.91e-05
                    273,                0.30865,                0.36671,                0.96078,                      1,               9.58e-05
                    274,                0.30492,                 0.3723,                0.95752,                      1,               9.25e-05
                    275,                0.30917,                0.36794,                0.95752,                      1,               8.92e-05
                    276,                0.30726,                0.38981,                0.95752,                      1,               8.59e-05
                    277,                0.30715,                0.36715,                0.95425,                      1,               8.26e-05
                    278,                0.30814,                0.38316,                0.95425,                      1,               7.93e-05
                    279,                0.30885,                0.38427,                0.95425,                      1,                7.6e-05
                    280,                0.30946,                 0.4131,                0.95425,                      1,               7.27e-05
                    281,                0.30429,                0.36007,                0.95425,                      1,               6.94e-05
                    282,                0.30522,                0.35074,                0.95752,                      1,               6.61e-05
                    283,                0.30546,                0.41462,                0.95752,                      1,               6.28e-05
                    284,                0.30517,                0.40893,                0.95752,                      1,               5.95e-05
                    285,                0.30834,                0.37131,                0.95752,                      1,               5.62e-05
                    286,                0.30682,                0.39228,                0.95752,                      1,               5.29e-05
                    287,                0.30522,                0.35211,                0.95752,                      1,               4.96e-05
                    288,                0.30598,                 0.3783,                0.95752,                      1,               4.63e-05
                    289,                0.30469,                0.40779,                0.95752,                      1,                4.3e-05
                    290,                0.30494,                0.37627,                0.95752,                      1,               3.97e-05
                    291,                0.30377,                0.39144,                0.95752,                      1,               3.64e-05
                    292,                0.30511,                0.35019,                0.95752,                      1,               3.31e-05
                    293,                0.30527,                0.37256,                0.95752,                      1,               2.98e-05
                    294,                0.30608,                0.41628,                0.95752,                      1,               2.65e-05
                    295,                0.30402,                0.38719,                0.95752,                      1,               2.32e-05
                    296,                0.30942,                0.38024,                0.95752,                      1,               1.99e-05
                    297,                0.30985,                0.35949,                0.95752,                      1,               1.66e-05
                    298,                0.30555,                 0.3556,                0.95752,                      1,               1.33e-05
                    299,                0.30927,                0.37689,                0.95752,                      1,                  1e-05
