               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.042102,            0.012105,            0.013899,             0.19789,                   0,             0.55882,            0.018921,              0.1278,            0.033147,            0.054268,            0.010695,            0.015546,             0.22339,                   0,             0.00742,             0.00742,             0.00742
                  88,            0.040827,            0.012179,            0.014151,             0.20214,                   0,             0.53701,            0.015625,             0.10803,            0.025777,            0.051558,            0.010977,            0.015695,             0.22742,                   0,             0.00739,             0.00739,             0.00739
                  89,            0.041108,            0.012127,            0.013996,             0.20178,                   0,             0.17446,            0.075568,             0.10131,            0.025017,            0.052215,            0.010874,            0.015427,             0.20947,                   0,             0.00736,             0.00736,             0.00736
                  90,            0.040314,            0.012094,            0.014046,             0.18788,                   0,                0.19,             0.16269,             0.10018,            0.024902,            0.053642,            0.010889,            0.015417,             0.19922,                   0,             0.00733,             0.00733,             0.00733
                  91,            0.039754,             0.01206,            0.013907,              0.1972,                   0,             0.40886,             0.12559,             0.10022,            0.023632,            0.051214,            0.010813,            0.015405,              0.1842,                   0,              0.0073,              0.0073,              0.0073
                  92,            0.039405,            0.011792,             0.01364,             0.18093,                   0,             0.38648,             0.13301,            0.086845,            0.023479,            0.051827,            0.010879,            0.015341,             0.18396,                   0,             0.00727,             0.00727,             0.00727
                  93,            0.038982,            0.011855,             0.01375,             0.17754,                   0,             0.27079,             0.03125,            0.070502,            0.016983,            0.053176,            0.010961,            0.015509,              0.1792,                   0,             0.00724,             0.00724,             0.00724
                  94,            0.039269,            0.011848,            0.013829,             0.17491,                   0,             0.14217,            0.026197,             0.10198,            0.027302,            0.052419,            0.010784,            0.016098,             0.20557,                   0,             0.00721,             0.00721,             0.00721
                  95,            0.039476,            0.011876,            0.013826,             0.16992,                   0,             0.38099,              0.0625,             0.12197,            0.034204,            0.052766,            0.010802,            0.015485,             0.18579,                   0,             0.00718,             0.00718,             0.00718
                  96,            0.038462,            0.011739,            0.013701,             0.15948,                   0,             0.14348,             0.14773,             0.10796,            0.025857,            0.050641,            0.010826,            0.015582,             0.18311,                   0,             0.00715,             0.00715,             0.00715
                  97,            0.038204,            0.011671,            0.013747,              0.1585,                   0,              0.4505,             0.15483,             0.15389,            0.043583,            0.051859,            0.010784,            0.015277,             0.17896,                   0,             0.00712,             0.00712,             0.00712
                  98,            0.038839,            0.011658,            0.013807,             0.15409,                   0,             0.52617,             0.26028,             0.19305,            0.052393,            0.052468,            0.010871,            0.015436,             0.17273,                   0,             0.00709,             0.00709,             0.00709
                  99,            0.038426,            0.011643,            0.013764,             0.15966,                   0,             0.51417,              0.2036,             0.21316,            0.056129,            0.050949,            0.010826,            0.015347,             0.16467,                   0,             0.00706,             0.00706,             0.00706
                 100,            0.038014,            0.011647,            0.013684,             0.15174,                   0,             0.46745,             0.17377,             0.14913,            0.037259,             0.05102,            0.010956,            0.015829,             0.16907,                   0,             0.00703,             0.00703,             0.00703
                 101,             0.03734,            0.011558,            0.013599,              0.1459,                   0,             0.50559,             0.18145,             0.17341,            0.043846,            0.050634,            0.010757,            0.016006,             0.17041,                   0,               0.007,               0.007,               0.007
                 102,            0.037508,            0.011549,            0.013554,             0.14418,                   0,             0.42158,             0.14962,             0.13919,            0.032167,            0.052352,            0.010721,            0.015897,             0.15674,                   0,             0.00697,             0.00697,             0.00697
                 103,            0.038428,            0.011527,            0.013712,              0.1537,                   0,             0.20637,             0.17818,             0.15468,            0.038752,            0.054121,            0.010674,            0.015598,             0.17322,                   0,             0.00694,             0.00694,             0.00694
